cost_id,warehouse_id,period_start,orders_count,cost_category,amount_usd,region,currency,cost_per_order_usd,budget_usd,variance_usd,overhead_usd
CST-000000034,WH-00019,2025-11-01,205,fuel,617.66,APAC,USD,3.013,668.65,-50.99,27.4
CST-000000035,WH-00015,2025-05-01,130,fuel,650.9,APAC,USD,5.0069,728.09,-77.19,74.51
CST-000000036,WH-00018,2025-09-01,140,fuel,464.06,EMEA,USD,3.3147,504.76,-40.7,41.01
CST-000000037,WH-00008,2025-03-01,255,fuel,2079.12,EMEA,USD,8.1534,2342.65,-263.53,143.81
CST-000000038,WH-00004,2025-07-01,129,fuel,2532.54,EMEA,USD,19.6321,2916.83,-384.29,235.5
CST-000000039,WH-00014,2025-08-01,227,fuel,21797.33,EMEA,USD,96.0235,21628.1,169.23,1610.06
CST-000000040,WH-00022,2025-10-01,202,fuel,1418.64,NA,USD,7.023,1384.39,34.25,80.42
CST-000000041,WH-00008,2025-01-01,271,fuel,4696.61,EMEA,USD,17.3307,5097.36,-400.75,339.35
CST-000000042,WH-00009,2025-03-01,219,fuel,10662.28,EMEA,USD,48.6862,11200.23,-537.95,657.95
CST-000000043,WH-00007,2025-05-01,118,fuel,784.86,EMEA,USD,6.6514,914.56,-129.7,52.16
CST-000000044,WH-00014,2025-02-01,167,fuel,18310.97,EMEA,USD,109.6465,17989.6,321.37,1087.78
CST-000000045,WH-00018,2025-05-01,132,fuel,525.07,EMEA,USD,3.9778,535.95,-10.88,17.83
CST-000000046,WH-00001,2025-06-01,144,fuel,832.54,EMEA,USD,5.7815,734.57,97.97,53.88
CST-000000047,WH-00008,2025-11-01,367,fuel,6850.68,EMEA,USD,18.6667,6079.17,771.51,335.65
CST-000000048,WH-00010,2025-04-01,221,fuel,712.16,APAC,USD,3.2224,729.91,-17.75,65.57
CST-000000049,WH-00006,2025-10-01,133,fuel,1817.9,EMEA,USD,13.6684,1655.36,162.54,136.6
CST-000000050,WH-00013,2025-12-01,201,fuel,660.29,APAC,USD,3.285,642.62,17.67,31.34
CST-000000051,WH-00012,2025-11-01,335,fuel,2204.29,EMEA,USD,6.58,1913.0,291.29,76.08
CST-000000052,WH-00005,2025-07-01,121,fuel,2589.83,EMEA,USD,21.4036,2588.46,1.37,117.83
CST-000000053,WH-00014,2025-11-01,282,fuel,36688.46,EMEA,USD,130.1009,41845.47,-5157.01,2642.77
CST-000000054,WH-00003,2025-12-01,188,fuel,532.76,LATAM,USD,2.8338,483.44,49.32,48.42
CST-000000055,WH-00013,2025-05-01,147,fuel,462.84,APAC,USD,3.1486,418.24,44.6,37.47
CST-000000056,WH-00002,2025-04-01,176,fuel,7521.49,EMEA,USD,42.7357,6446.05,1075.44,
CST-000000057,WH-00007,2025-11-01,132,fuel,1025.44,EMEA,USD,7.7685,1207.36,-181.92,121.54
CST-000000058,WH-00024,2025-01-01,134,fuel,559.63,APAC,USD,4.1763,639.99,-80.36,64.06
CST-000000059,WH-00001,2025-12-01,210,fuel,1491.27,EMEA,USD,7.1013,1608.93,-117.66,64.9
CST-000000060,WH-00009,2025-10-01,253,fuel,11121.0,EMEA,USD,43.9565,11895.93,-774.93,1097.22
CST-000000061,WH-00011,2025-05-01,127,fuel,729.02,NA,USD,5.7403,774.58,-45.56,50.49
CST-000000062,WH-00002,2025-09-01,193,fuel,13677.17,EMEA,USD,70.8662,11842.43,1834.74,559.08
CST-000000063,WH-00002,2025-07-01,166,fuel,11179.61,EMEA,USD,67.347,11379.89,-200.28,539.47
CST-000000064,WH-00014,2025-01-01,183,fuel,18225.84,EMEA,USD,99.5948,18574.41,-348.57,975.08
CST-000000065,WH-00007,2025-09-01,104,fuel,2275.46,EMEA,USD,21.8794,2200.27,75.19,94.58
CST-000000066,WH-00010,2025-10-01,252,fuel,781.09,APAC,USD,3.0996,810.67,-29.58,51.93
CST-000000067,WH-00008,2025-12-01,374,fuel,3804.24,EMEA,USD,10.1718,4270.37,-466.13,287.36
CST-000000068,WH-00015,2025-12-01,174,fuel,727.13,APAC,USD,4.1789,716.62,10.51,22.12
CST-000000069,WH-00025,2025-09-01,91,fuel,1883.54,EMEA,USD,20.6982,1956.9,-73.36,109.01
CST-000000070,WH-00004,2025-11-01,172,fuel,1769.15,EMEA,USD,10.2858,1830.43,-61.28,57.41
CST-000000071,WH-00016,2025-12-01,311,fuel,1244.38,APAC,USD,4.0012,1060.82,183.56,135.29
CST-000000072,WH-00023,2025-09-01,180,fuel,496.22,LATAM,USD,2.7568,443.07,53.15,15.58
CST-000000073,WH-00024,2025-11-01,212,fuel,839.28,APAC,USD,3.9589,762.23,77.05,76.31
CST-000000074,WH-00012,2025-10-01,282,fuel,2870.85,EMEA,USD,10.1803,3172.2,-301.35,115.18
CST-000000075,WH-00024,2025-09-01,178,fuel,1129.59,APAC,USD,6.346,1033.69,95.9,76.92
CST-000000076,WH-00023,2025-05-01,191,fuel,717.15,LATAM,USD,3.7547,636.5,80.65,30.3
CST-000000077,WH-00009,2025-04-01,230,fuel,10734.63,EMEA,USD,46.6723,9851.91,882.72,427.32
CST-000000078,WH-00023,2025-08-01,173,fuel,685.05,LATAM,USD,3.9598,728.81,-43.76,38.16
CST-000000079,WH-00002,2025-11-01,260,fuel,12667.03,EMEA,USD,48.7193,13705.63,-1038.6,1285.47
CST-000000080,WH-00016,2025-07-01,190,fuel,1018.0,APAC,USD,5.3579,884.17,133.83,
CST-000000081,WH-00023,2025-01-01,175,fuel,903.35,LATAM,USD,5.162,902.76,0.59,68.71
CST-000000082,WH-00020,2025-03-01,178,fuel,1623.82,APAC,USD,9.1226,1712.29,-88.47,91.96
CST-000000083,WH-00011,2025-06-01,139,fuel,1317.98,NA,USD,9.4819,1409.05,-91.07,156.39
CST-000000084,WH-00017,2025-02-01,73,fuel,565.7,NA,USD,7.7493,662.38,-96.68,20.9
CST-000000085,WH-00022,2025-07-01,159,fuel,1395.13,NA,USD,8.7744,1402.22,-7.09,104.07
CST-000000086,WH-00021,2025-10-01,91,fuel,5495.48,EMEA,USD,60.3899,4870.89,624.59,556.11
CST-000000087,WH-00009,2025-06-01,251,fuel,11269.1,EMEA,USD,44.8968,12651.28,-1382.18,860.09
CST-000000088,WH-00021,2025-11-01,101,fuel,1185.36,EMEA,USD,11.7362,1368.07,-182.71,121.1
CST-000000089,WH-00006,2025-08-01,120,fuel,2501.4,EMEA,USD,20.845,2637.48,-136.08,112.63
CST-000000090,WH-00020,2025-11-01,241,fuel,1746.03,APAC,USD,7.2449,1818.99,-72.96,97.13
CST-000000091,WH-00023,2025-02-01,169,fuel,663.43,LATAM,USD,3.9256,636.12,27.31,28.81
CST-000000092,WH-00015,2025-07-01,141,fuel,422.03,APAC,USD,2.9931,394.09,27.94,41.7
CST-000000093,WH-00014,2025-12-01,281,fuel,28185.53,EMEA,USD,100.3044,28667.82,-482.29,1593.81
CST-000000094,WH-00011,2025-03-01,134,fuel,1267.09,NA,USD,9.4559,1427.3,-160.21,65.48
CST-000000095,WH-00024,2025-02-01,129,fuel,680.03,APAC,USD,5.2716,612.76,67.27,31.87
CST-000000096,WH-00018,2025-07-01,120,fuel,500.35,EMEA,USD,4.1696,459.34,41.01,17.8
CST-000000097,WH-00019,2025-12-01,195,fuel,762.88,APAC,USD,3.9122,894.9,-132.02,64.11
CST-000000098,WH-00020,2025-12-01,254,fuel,2109.49,APAC,USD,8.3051,1986.5,122.99,185.5
CST-000000099,WH-00024,2025-05-01,193,fuel,998.45,APAC,USD,5.1733,1074.42,-75.97,31.6
CST-000000100,WH-00010,2025-06-01,231,fuel,687.01,APAC,USD,2.9741,689.91,-2.9,25.35
CST-000000101,WH-00010,2025-11-01,322,fuel,1209.06,APAC,USD,3.7548,1296.69,-87.63,78.95
CST-000000102,WH-00008,2025-10-01,322,fuel,5455.06,EMEA,USD,16.9412,5101.91,353.15,617.39
CST-000000103,WH-00018,2025-11-01,197,fuel,618.29,EMEA,USD,3.1385,672.91,-54.62,49.48
CST-000000104,WH-00024,2025-10-01,206,fuel,1030.78,APAC,USD,5.0038,892.6,138.18,113.83
CST-000000105,WH-00004,2025-03-01,100,fuel,1977.05,EMEA,USD,19.7705,1810.31,166.74,217.15
CST-000000106,WH-00007,2025-01-01,103,fuel,481.86,EMEA,USD,4.6783,511.74,-29.88,50.46
CST-000000107,WH-00005,2025-12-01,198,fuel,2449.8,EMEA,USD,12.3727,2781.01,-331.21,233.6
CST-000000108,WH-00008,2025-09-01,269,fuel,5031.64,EMEA,USD,18.705,4694.95,336.69,435.66
CST-000000109,WH-00005,2025-01-01,122,fuel,2245.46,EMEA,USD,18.4054,1944.06,301.4,265.48
CST-000000110,WH-00012,2025-12-01,333,fuel,2080.57,EMEA,USD,6.248,2445.04,-364.47,217.48
CST-000000111,WH-00020,2025-01-01,150,fuel,1127.86,APAC,USD,7.5191,1258.32,-130.46,112.07
CST-000000112,WH-00021,2025-06-01,62,fuel,966.78,EMEA,USD,15.5932,1085.83,-119.05,33.64
CST-000000113,WH-00012,2025-08-01,240,fuel,2925.86,EMEA,USD,12.1911,2564.09,361.77,348.81
CST-000000114,WH-00008,2025-06-01,246,fuel,2082.0,EMEA,USD,8.4634,2445.58,-363.58,93.76
CST-000000115,WH-00019,2025-10-01,179,fuel,653.01,APAC,USD,3.6481,687.72,-34.71,41.32
CST-000000116,WH-00015,2025-01-01,109,fuel,422.52,APAC,USD,3.8763,373.88,48.64,15.68
CST-000000117,WH-00012,2025-03-01,240,fuel,1314.83,EMEA,USD,5.4785,1522.64,-207.81,110.04
CST-000000118,WH-00009,2025-05-01,259,fuel,16467.64,EMEA,USD,63.5816,18214.98,-1747.34,1425.83
CST-000000119,WH-00008,2025-07-01,281,fuel,3736.77,EMEA,USD,13.2981,3281.32,455.45,224.53
CST-000000120,WH-00008,2025-05-01,305,fuel,4306.68,EMEA,USD,14.1203,4086.77,219.91,467.87
CST-000000121,WH-00004,2025-12-01,160,fuel,1930.66,EMEA,USD,12.0666,1935.98,-5.32,107.9
CST-000000122,WH-00006,2025-04-01,112,fuel,1440.45,EMEA,USD,12.8612,1648.59,-208.14,135.27
CST-000000123,WH-00017,2025-01-01,89,fuel,670.07,NA,USD,7.5289,717.9,-47.83,
CST-000000124,WH-00013,2025-03-01,118,fuel,555.51,APAC,USD,4.7077,502.38,53.13,52.82
CST-000000125,WH-00024,2025-06-01,158,fuel,1182.24,APAC,USD,7.4825,1026.51,155.73,50.85
CST-000000126,WH-00023,2025-04-01,181,fuel,663.88,LATAM,USD,3.6678,763.85,-99.97,39.28
CST-000000127,WH-00013,2025-07-01,128,fuel,825.48,APAC,USD,6.4491,974.31,-148.83,28.83
CST-000000128,WH-00009,2025-12-01,326,fuel,13698.93,EMEA,USD,42.0213,11731.02,1967.91,1379.62
CST-000000129,WH-00023,2025-07-01,190,fuel,661.28,LATAM,USD,3.4804,595.42,65.86,58.57
CST-000000130,WH-00008,2025-04-01,266,fuel,2732.21,EMEA,USD,10.2715,3079.61,-347.4,320.98
CST-000000131,WH-00022,2025-03-01,158,fuel,926.69,NA,USD,5.8651,829.16,97.53,40.95
CST-000000132,WH-00003,2025-08-01,136,fuel,482.98,LATAM,USD,3.5513,453.95,29.03,33.14
CST-000000133,WH-00002,2025-12-01,276,fuel,16017.78,EMEA,USD,58.0354,15995.21,22.57,1770.97
CST-000000134,WH-00011,2025-01-01,107,fuel,680.1,NA,USD,6.3561,639.97,40.13,66.19
CST-000000135,WH-00023,2025-10-01,220,fuel,870.72,LATAM,USD,3.9578,766.49,104.23,28.42
CST-000000136,WH-00015,2025-03-01,123,fuel,405.96,APAC,USD,3.3005,424.95,-18.99,28.57
CST-000000137,WH-00016,2025-01-01,188,fuel,819.11,APAC,USD,4.357,707.49,111.62,81.36
CST-000000138,WH-00012,2025-05-01,252,fuel,2049.03,EMEA,USD,8.1311,2122.92,-73.89,102.27
CST-000000139,WH-00004,2025-10-01,135,fuel,1868.45,EMEA,USD,13.8404,2224.15,-355.7,90.23
CST-000000140,WH-00011,2025-08-01,124,fuel,1011.53,NA,USD,8.1575,1079.19,-67.66,39.88
CST-000000141,WH-00020,2025-06-01,172,fuel,1304.47,APAC,USD,7.5841,1200.63,103.84,142.78
CST-000000142,WH-00001,2025-11-01,203,fuel,1211.06,EMEA,USD,5.9658,1280.48,-69.42,131.94
CST-000000143,WH-00011,2025-07-01,130,fuel,1057.01,NA,USD,8.1308,909.38,147.63,31.83
CST-000000144,WH-00013,2025-02-01,99,fuel,250.46,APAC,USD,2.5299,271.83,-21.37,26.31
CST-000000145,WH-00022,2025-08-01,155,fuel,1162.59,NA,USD,7.5006,1287.56,-124.97,50.28
CST-000000146,WH-00003,2025-06-01,139,fuel,329.15,LATAM,USD,2.368,295.0,34.15,10.91
CST-000000147,WH-00003,2025-07-01,104,fuel,300.36,LATAM,USD,2.8881,312.42,-12.06,19.51
CST-000000148,WH-00010,2025-01-01,229,fuel,679.12,APAC,USD,2.9656,737.94,-58.82,75.25
CST-000000149,WH-00018,2025-01-01,138,fuel,554.22,EMEA,USD,4.0161,481.78,72.44,51.24
CST-000000150,WH-00001,2025-10-01,167,fuel,2355.02,EMEA,USD,14.1019,2659.0,-303.98,104.94
CST-000000151,WH-00006,2025-12-01,168,fuel,2709.13,EMEA,USD,16.1258,2629.09,80.04,202.82
CST-000000152,WH-00002,2025-06-01,196,fuel,8190.29,EMEA,USD,41.7872,7744.55,445.74,419.24
CST-000000153,WH-00016,2025-08-01,203,fuel,562.98,APAC,USD,2.7733,560.32,2.66,
CST-000000154,WH-00018,2025-08-01,143,fuel,663.85,EMEA,USD,4.6423,656.51,7.34,69.91
CST-000000155,WH-00018,2025-12-01,201,fuel,1069.19,EMEA,USD,5.3194,1224.16,-154.97,77.05
CST-000000156,WH-00012,2025-04-01,236,fuel,2387.9,EMEA,USD,10.1182,2368.97,18.93,138.23
CST-000000157,WH-00007,2025-07-01,103,fuel,901.56,EMEA,USD,8.753,777.84,123.72,33.94
CST-000000158,WH-00003,2025-10-01,109,fuel,306.48,LATAM,USD,2.8117,308.28,-1.8,28.51
CST-000000159,WH-00022,2025-11-01,232,fuel,1780.43,NA,USD,7.6743,2032.3,-251.87,106.02
CST-000000160,WH-00009,2025-09-01,242,fuel,12522.97,EMEA,USD,51.7478,12710.46,-187.49,619.57
CST-000000161,WH-00014,2025-04-01,222,fuel,25780.2,EMEA,USD,116.127,23506.49,2273.71,2832.75
CST-000000162,WH-00014,2025-06-01,212,fuel,22218.17,EMEA,USD,104.8027,20873.58,1344.59,690.07
CST-000000163,WH-00001,2025-08-01,129,fuel,2814.71,EMEA,USD,21.8195,3021.03,-206.32,151.53
CST-000000164,WH-00011,2025-04-01,130,fuel,929.06,NA,USD,7.1466,853.13,75.93,77.93
CST-000000165,WH-00006,2025-06-01,113,fuel,1690.72,EMEA,USD,14.9621,2013.49,-322.77,90.8
CST-000000166,WH-00002,2025-01-01,162,fuel,8697.99,EMEA,USD,53.6913,8743.92,-45.93,903.13
CST-000000167,WH-00016,2025-03-01,176,fuel,713.21,APAC,USD,4.0523,760.42,-47.21,31.85
CST-000000168,WH-00019,2025-08-01,148,fuel,421.48,APAC,USD,2.8478,420.12,1.36,47.81
CST-000000169,WH-00005,2025-02-01,118,fuel,2779.5,EMEA,USD,23.5551,2596.37,183.13,186.57
CST-000000170,WH-00022,2025-06-01,173,fuel,1289.57,NA,USD,7.4542,1275.03,14.54,94.03
CST-000000171,WH-00020,2025-02-01,141,fuel,1140.63,APAC,USD,8.0896,1100.6,40.03,92.5
CST-000000172,WH-00006,2025-11-01,169,fuel,1903.3,EMEA,USD,11.2621,2247.88,-344.58,166.46
CST-000000173,WH-00016,2025-06-01,190,fuel,725.46,APAC,USD,3.8182,658.71,66.75,63.65
CST-000000174,WH-00011,2025-09-01,133,fuel,1060.72,NA,USD,7.9753,1050.77,9.95,48.67
CST-000000175,WH-00001,2025-01-01,139,fuel,804.34,EMEA,USD,5.7866,947.68,-143.34,44.61
CST-000000176,WH-00016,2025-10-01,218,fuel,971.97,APAC,USD,4.4586,1005.58,-33.61,37.26
CST-000000177,WH-00012,2025-07-01,270,fuel,2413.64,EMEA,USD,8.9394,2099.97,313.67,196.88
CST-000000178,WH-00015,2025-11-01,170,fuel,716.73,APAC,USD,4.2161,637.0,79.73,59.94
CST-000000179,WH-00004,2025-09-01,119,fuel,1966.39,EMEA,USD,16.5243,2224.29,-257.9,62.38
CST-000000180,WH-00018,2025-02-01,96,fuel,403.11,EMEA,USD,4.1991,446.27,-43.16,46.1
CST-000000181,WH-00017,2025-12-01,141,fuel,956.52,NA,USD,6.7838,1054.17,-97.65,64.88
CST-000000182,WH-00024,2025-03-01,168,fuel,908.8,APAC,USD,5.4095,1032.92,-124.12,43.98
CST-000000183,WH-00007,2025-02-01,76,fuel,905.52,EMEA,USD,11.9147,960.75,-55.23,55.93
CST-000000184,WH-00015,2025-06-01,127,fuel,340.41,APAC,USD,2.6804,346.95,-6.54,28.76
CST-000000185,WH-00020,2025-07-01,192,fuel,1360.21,APAC,USD,7.0844,1201.21,159.0,94.38
CST-000000186,WH-00006,2025-07-01,121,fuel,2780.27,EMEA,USD,22.9774,3158.07,-377.8,193.44
CST-000000187,WH-00005,2025-11-01,175,fuel,5412.34,EMEA,USD,30.9277,4905.48,506.86,628.36
CST-000000188,WH-00005,2025-03-01,151,fuel,934.8,EMEA,USD,6.1907,938.28,-3.48,42.83
CST-000000189,WH-00024,2025-08-01,163,fuel,831.1,APAC,USD,5.0988,990.14,-159.04,85.02
CST-000000190,WH-00003,2025-11-01,163,fuel,693.52,LATAM,USD,4.2547,791.16,-97.64,21.16
CST-000000191,WH-00019,2025-01-01,141,fuel,523.62,APAC,USD,3.7136,558.4,-34.78,19.74
CST-000000192,WH-00005,2025-09-01,172,fuel,1892.12,EMEA,USD,11.0007,1924.27,-32.15,186.58
CST-000000193,WH-00010,2025-08-01,225,fuel,688.97,APAC,USD,3.0621,785.3,-96.33,34.19
CST-000000194,WH-00019,2025-06-01,137,fuel,608.73,APAC,USD,4.4433,577.37,31.36,69.52
CST-000000195,WH-00018,2025-10-01,154,fuel,547.52,EMEA,USD,3.5553,482.22,65.3,18.51
CST-000000196,WH-00023,2025-11-01,237,fuel,1024.83,LATAM,USD,4.3242,1165.5,-140.67,65.08
CST-000000197,WH-00015,2025-10-01,151,fuel,631.92,APAC,USD,4.1849,598.03,33.89,40.84
CST-000000198,WH-00006,2025-09-01,117,fuel,1375.1,EMEA,USD,11.753,1338.68,36.42,67.46
CST-000000199,WH-00019,2025-07-01,125,fuel,411.74,APAC,USD,3.2939,490.53,-78.79,25.24
CST-000000200,WH-00014,2025-09-01,231,fuel,27112.08,EMEA,USD,117.3683,30951.14,-3839.06,1887.98
CST-000000201,WH-00016,2025-05-01,195,fuel,775.67,APAC,USD,3.9778,750.36,25.31,81.5
CST-000000202,WH-00005,2025-06-01,136,fuel,2950.0,EMEA,USD,21.6912,3057.76,-107.76,340.68
CST-000000203,WH-00017,2025-10-01,111,fuel,1063.94,NA,USD,9.585,1028.56,35.38,112.46
CST-000000204,WH-00009,2025-11-01,334,fuel,14316.46,EMEA,USD,42.8637,13317.34,999.12,463.71
CST-000000205,WH-00022,2025-12-01,238,fuel,1565.87,NA,USD,6.5793,1624.19,-58.32,75.91
CST-000000206,WH-00003,2025-02-01,107,fuel,342.95,LATAM,USD,3.2051,357.43,-14.48,20.9
CST-000000207,WH-00006,2025-03-01,119,fuel,1349.84,EMEA,USD,11.3432,1229.25,120.59,152.66
CST-000000208,WH-00020,2025-05-01,209,fuel,1467.12,APAC,USD,7.0197,1675.5,-208.38,85.25
CST-000000209,WH-00011,2025-11-01,174,fuel,1002.52,NA,USD,5.7616,1027.93,-25.41,114.89
CST-000000210,WH-00020,2025-09-01,175,fuel,1136.58,APAC,USD,6.4947,999.34,137.24,117.41
CST-000000211,WH-00023,2025-06-01,187,fuel,600.7,LATAM,USD,3.2123,540.58,60.12,61.46
CST-000000212,WH-00014,2025-05-01,211,fuel,22149.28,EMEA,USD,104.9729,19452.58,2696.7,
CST-000000213,WH-00015,2025-04-01,128,fuel,506.03,APAC,USD,3.9534,498.58,7.45,52.88
CST-000000214,WH-00012,2025-06-01,230,fuel,3352.97,EMEA,USD,14.5781,3883.59,-530.62,228.67
CST-000000215,WH-00011,2025-02-01,95,fuel,885.53,NA,USD,9.3214,818.29,67.24,43.76
CST-000000216,WH-00021,2025-12-01,123,fuel,2361.62,EMEA,USD,19.2002,2284.9,76.72,119.3
CST-000000217,WH-00020,2025-10-01,185,fuel,1218.17,APAC,USD,6.5847,1181.93,36.24,75.89
CST-000000218,WH-00021,2025-01-01,81,fuel,2078.03,EMEA,USD,25.6547,2072.53,5.5,89.74
CST-000000219,WH-00006,2025-02-01,88,fuel,609.33,EMEA,USD,6.9242,718.57,-109.24,49.84
CST-000000220,WH-00007,2025-04-01,99,fuel,1054.12,EMEA,USD,10.6477,1103.6,-49.48,53.9
CST-000000221,WH-00010,2025-12-01,319,fuel,1021.53,APAC,USD,3.2023,964.46,57.07,40.34
CST-000000222,WH-00014,2025-10-01,232,fuel,19274.3,EMEA,USD,83.0789,18919.29,355.01,938.93
CST-000000223,WH-00025,2025-10-01,108,fuel,1309.05,EMEA,USD,12.1208,1393.74,-84.69,90.73
CST-000000224,WH-00006,2025-05-01,118,fuel,1790.6,EMEA,USD,15.1746,1911.17,-120.57,65.02
CST-000000225,WH-00003,2025-09-01,144,fuel,410.72,LATAM,USD,2.8522,380.69,30.03,31.7
CST-000000226,WH-00014,2025-03-01,204,fuel,21030.84,EMEA,USD,103.0924,24647.86,-3617.02,1314.9
CST-000000227,WH-00024,2025-04-01,175,fuel,848.38,APAC,USD,4.8479,958.04,-109.66,40.99
CST-000000228,WH-00011,2025-12-01,205,fuel,1338.05,NA,USD,6.5271,1228.12,109.93,96.51
CST-000000229,WH-00019,2025-02-01,131,fuel,403.47,APAC,USD,3.0799,342.96,60.51,26.92
CST-000000230,WH-00013,2025-08-01,135,fuel,498.07,APAC,USD,3.6894,466.11,31.96,15.21
CST-000000231,WH-00007,2025-03-01,90,fuel,1550.26,EMEA,USD,17.2251,1530.47,19.79,77.11
CST-000000232,WH-00003,2025-03-01,131,fuel,442.68,LATAM,USD,3.3792,507.32,-64.64,31.38
CST-000000233,WH-00008,2025-02-01,196,fuel,3172.21,EMEA,USD,16.1847,2987.02,185.19,105.75
CST-000000234,WH-00002,2025-10-01,233,fuel,11754.21,EMEA,USD,50.4473,11923.6,-169.39,992.86
CST-000000235,WH-00021,2025-03-01,85,fuel,2105.64,EMEA,USD,24.7722,2422.68,-317.04,
CST-000000236,WH-00001,2025-05-01,143,fuel,1512.62,EMEA,USD,10.5778,1656.33,-143.71,122.19
CST-000000237,WH-00025,2025-05-01,101,fuel,1506.2,EMEA,USD,14.9129,1433.95,72.25,77.81
CST-000000238,WH-00005,2025-08-01,144,fuel,1455.8,EMEA,USD,10.1097,1362.81,92.99,114.75
CST-000000239,WH-00017,2025-03-01,97,fuel,1009.25,NA,USD,10.4046,1135.02,-125.77,78.22
CST-000000240,WH-00007,2025-10-01,121,fuel,508.25,EMEA,USD,4.2004,581.37,-73.12,36.01
CST-000000241,WH-00016,2025-09-01,221,fuel,1327.64,APAC,USD,6.0074,1360.92,-33.28,98.69
CST-000000242,WH-00010,2025-02-01,198,fuel,524.93,APAC,USD,2.6512,458.54,66.39,29.3
CST-000000243,WH-00013,2025-01-01,123,fuel,613.53,APAC,USD,4.988,553.04,60.49,60.99
CST-000000244,WH-00013,2025-10-01,150,fuel,689.4,APAC,USD,4.596,705.17,-15.77,37.9
CST-000000245,WH-00025,2025-07-01,94,fuel,2342.1,EMEA,USD,24.916,2760.5,-418.4,272.16
CST-000000246,WH-00001,2025-03-01,137,fuel,734.31,EMEA,USD,5.3599,731.87,2.44,44.21
CST-000000247,WH-00013,2025-04-01,132,fuel,652.59,APAC,USD,4.9439,653.56,-0.97,51.44
